time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_14_30_42_215794,-1.57079633,0.0,0.005,20001,1.0604865,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_42_386549,-1.57079633,0.0,0.005,20001,1.0638649,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_42_576646,-1.57079633,0.0,0.005,20001,1.065,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_42_921996,-1.57079633,0.0,0.005,20001,1.0627568,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_42_953250,-1.57079633,0.0,0.005,20001,1.0605135,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_000526,-1.57079633,0.0,0.005,20001,1.0616216,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_047423,-1.57079633,0.0,0.005,20001,1.0638919,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_157212,-1.57079633,0.0,0.005,20001,1.065027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_502878,-1.57079633,0.0,0.005,20001,1.0627838,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_628183,-1.57079633,0.0,0.005,20001,1.0605405,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_753696,-1.57079633,0.0,0.005,20001,1.0639189,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_298790,-1.57079633,0.0,0.005,20001,1.065973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_43_910725,-1.57079633,0.0,0.005,20001,1.0650541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_44_224506,-1.57079633,0.0,0.005,20001,1.0628108,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_44_349915,-1.57079633,0.0,0.005,20001,1.0639459,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_44_444081,-1.57079633,0.0,0.005,20001,1.0650811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_44_397187,-1.57079633,0.0,0.005,20001,1.066,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_024727,-1.57079633,0.0,0.005,20001,1.0628378,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_150204,-1.57079633,0.0,0.005,20001,1.0605946,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_181455,-1.57079633,0.0,0.005,20001,1.0617027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_213133,-1.57079633,0.0,0.005,20001,1.063973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_307285,-1.57079633,0.0,0.005,20001,1.0651081,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_636714,-1.57079633,0.0,0.005,20001,1.0628649,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_730917,-1.57079633,0.0,0.005,20001,1.0606216,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_935129,-1.57079633,0.0,0.005,20001,1.064,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_825230,-1.57079633,0.0,0.005,20001,1.0617297,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_46_170517,-1.57079633,0.0,0.005,20001,1.0651351,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_45_558140,-1.57079633,0.0,0.005,20001,1.066027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_46_578554,-1.57079633,0.0,0.005,20001,1.0628919,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_46_782529,-1.57079633,0.0,0.005,20001,1.0617568,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_46_814198,-1.57079633,0.0,0.005,20001,1.0606486,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_46_892325,-1.57079633,0.0,0.005,20001,1.064027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_46_939629,-1.57079633,0.0,0.005,20001,1.0651622,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_47_347745,-1.57079633,0.0,0.005,20001,1.0629189,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_47_049443,-1.57079633,0.0,0.005,20001,1.0660541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_47_666850,-1.57079633,0.0,0.005,20001,1.0617838,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_47_808324,-1.57079633,0.0,0.005,20001,1.0606757,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_47_855220,-1.57079633,0.0,0.005,20001,1.0640541,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_47_949376,-1.57079633,0.0,0.005,20001,1.0651892,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_137721,-1.57079633,0.0,0.005,20001,1.0629459,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_325548,-1.57079633,0.0,0.005,20001,1.0618108,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_435113,-1.57079633,0.0,0.005,20001,1.0607027,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_576716,-1.57079633,0.0,0.005,20001,1.0640811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_608439,-1.57079633,0.0,0.005,20001,1.0652162,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_801551,-1.57079633,0.0,0.005,20001,1.062973,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_48_293871,-1.57079633,0.0,0.005,20001,1.0660811,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_032224,-1.57079633,0.0,0.005,20001,1.0618378,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_094723,-1.57079633,0.0,0.005,20001,1.0607297,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_251816,-1.57079633,0.0,0.005,20001,1.0652432,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_267441,-1.57079633,0.0,0.005,20001,1.0641081,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_345983,-1.57079633,0.0,0.005,20001,1.063,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_754804,-1.57079633,0.0,0.005,20001,1.0618649,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_864589,-1.57079633,0.0,0.005,20001,1.0607568,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_49_402880,-1.57079633,0.0,0.005,20001,1.0661081,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_14_30_50_068790,-1.57079633,0.0,0.005,20001,1.0652703,6.2831853,0,0.11032751,1,4.712389,9.8
