time_stamp,teta0,omega0,dt,n_iter,gamma,driving_ang_freq,driving_delta,l,m,damping,g
2022_12_14_11_17_53_942813,0.59200867,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_848589,0.33152485,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_53_879853,0.7261973,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_101045,0.48939383,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_131200,0.60779556,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_201296,0.92353352,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_241094,0.61568901,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_162472,0.34731175,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_335374,0.93142697,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_209827,0.75777109,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_350982,0.86038593,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_429609,0.82881213,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_445235,0.62358246,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_539427,0.86827938,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_618036,1.0656156,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_664960,0.84459903,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_743627,0.87617283,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_759243,0.98668111,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_806516,1.073509,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_916373,1.2076977,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_072989,1.1445501,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_54_853407,0.77355799,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_088588,0.90774662,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_214895,1.1682304,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_246203,0.91564007,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_167138,1.0182549,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_340476,1.0971894,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_198821,1.2787387,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_513257,1.2866322,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_575777,1.4208208,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_779894,1.4918618,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_764272,1.3734601,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_812077,1.2708453,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_827788,1.5707963,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_780405,1.2945256,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_55_968878,1.389247,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_56_126104,1.5076487,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_56_063080,1.3024191,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
2022_12_14_11_17_56_366564,1.318206,0.0,0.005,4001,0.5,6.2831853,0,0.11032751,1,4.712389,9.8
